,id,desc,path,caption,similarity
344,0224606025,Narrow belt in grained imitation leather with a metal buckle. Width 2 cm.,../input/h-and-m-personalized-fashion-recommendations/images/022/0224606025.jpg,belt in imitation leather with a metal buckle width,0.8571272
366,0233091015,Fine-knit gloves.,../input/h-and-m-personalized-fashion-recommendations/images/023/0233091015.jpg,gloves in a soft fine knit with ribbed cuffs,0.41781986
376,0234421002,"Matt, opaque tights with extra room for a growing tummy. 200 denier.",../input/h-and-m-personalized-fashion-recommendations/images/023/0234421002.jpg,tights with an elasticated waist [UNK] extra space for,0.55455124
400,0237347035,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem.",../input/h-and-m-personalized-fashion-recommendations/images/023/0237347035.jpg,jacket in sweatshirt fabric with a lined drawstring hood,0.7504134
431,0241436006,"Soft handbag in imitation leather with two handles, a zip and a detachable shoulder strap at the top, and three inner compartments, one with a zip. Lined. Size 27x31 cm.",../input/h-and-m-personalized-fashion-recommendations/images/024/0241436006.jpg,small shoulder bag in grained imitation leather with two,0.534396
449,0244267004,Purl-knit jumper in a cotton blend with a slightly wider neckline and 3/4-length sleeves.,../input/h-and-m-personalized-fashion-recommendations/images/024/0244267004.jpg,short dress in a soft fine knit with a,0.39765656
520,0255396010,"Cardigan in sweatshirt fabric with a lined hood, diagonal zip at the front and side pockets. Ribbed cuffs and a raw-edge hem.",../input/h-and-m-personalized-fashion-recommendations/images/025/0255396010.jpg,jacket in sweatshirt fabric with a lined hood zip,0.65332186
521,0255396018,"Cardigan in sweatshirt fabric with a lined hood, diagonal zip at the front and side pockets. Ribbed cuffs and a raw-edge hem.",../input/h-and-m-personalized-fashion-recommendations/images/025/0255396018.jpg,jacket in sweatshirt fabric with a lined hood zip,0.65332186
531,0256511038,"Lined triangle bikini top with moulded, padded cups for a larger bust and fuller cleavage and ties at the back and back of the neck.",../input/h-and-m-personalized-fashion-recommendations/images/025/0256511038.jpg,lined triangle bikini top with removable inserts and ties,0.58935285
534,0257430026,Vest tops in soft cotton jersey with narrow shoulder straps and picot trims.,../input/h-and-m-personalized-fashion-recommendations/images/025/0257430026.jpg,vest tops in soft cotton jersey with narrow shoulder,0.8338125
582,0265630004,Shaftless socks in thin cotton jersey with a silicone trim around the heel.,../input/h-and-m-personalized-fashion-recommendations/images/026/0265630004.jpg,fineknit trainer socks in fastdrying functional fabric with a,0.41291237
589,0266875001,"Lightweight, unlined liner socks in fast-drying functional fabric with reinforcement at the toes and heels.",../input/h-and-m-personalized-fashion-recommendations/images/026/0266875001.jpg,fineknit liner socks designed to be hidden inside your,0.47164
610,0270375005,"Sunglasses with plastic frames and UV-protective, tinted lenses.",../input/h-and-m-personalized-fashion-recommendations/images/027/0270375005.jpg,sunglasses with plastic frames and uvprotective tinted lenses [UNK],0.9701019
686,0287645013,Thin tights with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/028/0287645013.jpg,thin tights with an elasticated waist [UNK] wide elastication,0.8953899
687,0287645022,Thin tights with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/028/0287645022.jpg,thin tights with an elasticated waist [UNK] wide elastication,0.8953899
688,0287645023,Thin tights with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/028/0287645023.jpg,thin tights with an elasticated waist [UNK] fineknit cotton,0.83057606
689,0287645027,Thin tights with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/028/0287645027.jpg,thin tights with an elasticated waist [UNK] pointelleknit sections,0.8527718
690,0287645029,Thin tights with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/028/0287645029.jpg,tights in a soft fineknit cotton blend with an,0.5263871
724,0291333014,"Tights in a soft, fine-knit cotton blend with an elasticated waist.",../input/h-and-m-personalized-fashion-recommendations/images/029/0291333014.jpg,tights in a soft fineknit cotton blend with an,0.88842803
731,0291338004,Pointelle-knit tights in a soft cotton blend with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/029/0291338004.jpg,pointelleknit tights in a soft cotton blend with an,0.88444304
735,0291338014,Pointelle-knit tights in a soft cotton blend with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/029/0291338014.jpg,pointelleknit tights in a soft cotton blend with an,0.88444304
736,0291338017,Pointelle-knit tights in a soft cotton blend with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/029/0291338017.jpg,pointelleknit tights in a soft cotton blend with an,0.88444304
737,0291338018,Pointelle-knit tights in a soft cotton blend with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/029/0291338018.jpg,tights in a soft fineknit cotton blend with an,0.83334607
740,0291338023,Pointelle-knit tights in a soft cotton blend with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/029/0291338023.jpg,pointelleknit tights in a soft cotton blend with an,0.88444304
764,0293244001,Thin tights with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/029/0293244001.jpg,tights in a fine knit with an elasticated waist,0.817349
765,0293244002,Thin tights with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/029/0293244002.jpg,thin tights with an elasticated waist [UNK] thin cotton,0.83411264
768,0293244010,Thin tights with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/029/0293244010.jpg,leggings in sturdy jersey with an elasticated waist [UNK],0.6033524
777,0293433026,"Tights in a soft, fine knit with an elasticated waist.",../input/h-and-m-personalized-fashion-recommendations/images/029/0293433026.jpg,tights in a soft fine knit with an elasticated,0.9254396
783,0293433045,"Tights in a soft, fine knit with an elasticated waist.",../input/h-and-m-personalized-fashion-recommendations/images/029/0293433045.jpg,tights in a soft fineknit cotton blend with an,0.65323913
784,0293433046,"Tights in a soft, fine knit with an elasticated waist.",../input/h-and-m-personalized-fashion-recommendations/images/029/0293433046.jpg,tights in a soft fineknit cotton blend with an,0.65323913
785,0293433047,"Tights in a soft, fine knit with an elasticated waist.",../input/h-and-m-personalized-fashion-recommendations/images/029/0293433047.jpg,tights in a soft fineknit cotton blend with an,0.65323913
786,0293433048,"Tights in a soft, fine knit with an elasticated waist.",../input/h-and-m-personalized-fashion-recommendations/images/029/0293433048.jpg,tights in a soft fineknit cotton blend with an,0.65323913
796,0293510007,Fine-knit tights with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/029/0293510007.jpg,long metal earrings with a plastic bead at the,0.23594892
891,0301364029,"Shorts in superstretch twill with a high waist, back pockets and sewn-in turn-ups at the hems.",../input/h-and-m-personalized-fashion-recommendations/images/030/0301364029.jpg,short shorts in washed stretch denim with an adjustable,0.54766613
904,0301687009,Tights in a fine knit containing glittery threads. Elasticated waist and soft inside.,../input/h-and-m-personalized-fashion-recommendations/images/030/0301687009.jpg,semi shiny tights with extra room for a growing,0.48884764
910,0302311022,"Long-sleeved jumper in a soft, textured-knit cotton blend with ribbing around the neckline, cuffs and hem.",../input/h-and-m-personalized-fashion-recommendations/images/030/0302311022.jpg,longsleeved jumper in a soft textured knit with a,0.6186956
911,0302311024,"Long-sleeved jumper in a soft, textured-knit cotton blend with ribbing around the neckline, cuffs and hem.",../input/h-and-m-personalized-fashion-recommendations/images/030/0302311024.jpg,longsleeved jumper in a soft textured knit with a,0.6186956
912,0302311026,"Long-sleeved jumper in a soft, textured-knit cotton blend with ribbing around the neckline, cuffs and hem.",../input/h-and-m-personalized-fashion-recommendations/images/030/0302311026.jpg,jumper in a soft textured knit with long sleeves,0.6027329
945,0305775032,Tights in a fine knit containing glittery threads with an elasticated waist. Soft inside.,../input/h-and-m-personalized-fashion-recommendations/images/030/0305775032.jpg,tights in a soft fineknit cotton blend with an,0.60818815
954,0306847002,Leggings in soft cotton jersey with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/030/0306847002.jpg,leggings in soft organic cotton jersey with an elasticated,0.8582796
1031,0312878001,"Coat in a woven wool blend with a hood and concealed press-studs down the front. Tie belt at the waist, side pockets and a single back vent. Lined. The wool content of the coat is recycled.",../input/h-and-m-personalized-fashion-recommendations/images/031/0312878001.jpg,dressing gown in soft fleece with a hood and,0.40763125
1033,0312878010,"Coat in a woven wool blend with a hood and concealed press-studs down the front. Tie belt at the waist, side pockets and a single back vent. Lined. The wool content of the coat is recycled.",../input/h-and-m-personalized-fashion-recommendations/images/031/0312878010.jpg,coat in a soft felted wool blend with notch,0.45849612
1040,0315497018,"Double-layered hat in a soft, fine knit.",../input/h-and-m-personalized-fashion-recommendations/images/031/0315497018.jpg,hat in a soft rib knit with a large,0.7730222
1079,0316553025,"Short jersey dress with narrow shoulder straps, a seam at the waist and bell-shaped skirt.",../input/h-and-m-personalized-fashion-recommendations/images/031/0316553025.jpg,short dress in sturdy jersey with a narrow shoulder,0.70495677
1159,0322322016,"Hat in a soft, rib-knit wool and nylon blend.",../input/h-and-m-personalized-fashion-recommendations/images/032/0322322016.jpg,hat in a soft rib knit with a turnedup,0.45552367
1160,0323274002,Fine-knit trainer socks in various colours and designs.,../input/h-and-m-personalized-fashion-recommendations/images/032/0323274002.jpg,fineknit socks in a soft cotton blend [UNK] socks,0.48441592
1182,0325087002,"Push-up bras in cotton jersey with lace details and underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back.",../input/h-and-m-personalized-fashion-recommendations/images/032/0325087002.jpg,bras in microfibre and lace with underwired padded cups,0.5819515
1183,0325087018,"Push-up bras in cotton jersey with lace details and underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back.",../input/h-and-m-personalized-fashion-recommendations/images/032/0325087018.jpg,pushup bras in soft cotton jersey with underwired moulded,0.5911965
1184,0325087036,"Push-up bras in cotton jersey with lace details and underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back.",../input/h-and-m-personalized-fashion-recommendations/images/032/0325087036.jpg,pushup bras in microfibre with underwired moulded padded cups,0.5568531
1185,0325087041,"Push-up bras in cotton jersey with lace details and underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back.",../input/h-and-m-personalized-fashion-recommendations/images/032/0325087041.jpg,pushup bra in microfibre with underwired moulded padded cups,0.5573522
1186,0325087043,"Push-up bras in cotton jersey with lace details and underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back.",../input/h-and-m-personalized-fashion-recommendations/images/032/0325087043.jpg,pushup bras in microfibre and lace with underwired moulded,0.5987582
1187,0325087044,"Push-up bras in cotton jersey with lace details and underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back.",../input/h-and-m-personalized-fashion-recommendations/images/032/0325087044.jpg,pushup bras in microfibre and lace with underwired moulded,0.5987582
1188,0325087045,"Push-up bras in cotton jersey with lace details and underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back.",../input/h-and-m-personalized-fashion-recommendations/images/032/0325087045.jpg,pushup bras in microfibre and lace with underwired moulded,0.5987582
1210,0327144032,Fine-knit tights in a soft cotton blend with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/032/0327144032.jpg,fineknit tights in a soft cotton blend with an,0.8822247
1211,0327144033,Fine-knit tights in a soft cotton blend with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/032/0327144033.jpg,fineknit tights in a soft cotton blend with an,0.8822247
1217,0327310002,"Short jersey skirt with a draped, wrapover front and concealed elastication at the waist.",../input/h-and-m-personalized-fashion-recommendations/images/032/0327310002.jpg,short skirt in a stretch weave with a high,0.48946905
1240,0331093001,"Sleeveless jersey jumpsuit with a deep neckline at the back, elasticated seam at the waist, side pockets and tapered legs.",../input/h-and-m-personalized-fashion-recommendations/images/033/0331093001.jpg,sleeveless jumpsuit in fastdrying functional fabric with a deep,0.53530145
1241,0331093002,"Sleeveless jersey jumpsuit with a deep neckline at the back, elasticated seam at the waist, side pockets and tapered legs.",../input/h-and-m-personalized-fashion-recommendations/images/033/0331093002.jpg,sleeveless jumpsuit in a viscose weave with a vneck,0.59018993
1242,0331093006,"Sleeveless jersey jumpsuit with a deep neckline at the back, elasticated seam at the waist, side pockets and tapered legs.",../input/h-and-m-personalized-fashion-recommendations/images/033/0331093006.jpg,sleeveless jumpsuit in a viscose weave with a vneck,0.59018993
1265,0333323030,Fine-knit socks in a soft cotton blend with a foldover shaft. (Sizes 3-9 with anti-slip protectors.) The socks are made partly from organic cotton.,../input/h-and-m-personalized-fashion-recommendations/images/033/0333323030.jpg,fineknit socks in a soft cotton blend [UNK] socks,0.7425791
1288,0337991001,Leather belt with a metal buckle. Width 3 cm.,../input/h-and-m-personalized-fashion-recommendations/images/033/0337991001.jpg,leather belt with a metal buckle width 3 cm,0.9999999
1292,0337991007,Leather belt with a metal buckle. Width 3 cm.,../input/h-and-m-personalized-fashion-recommendations/images/033/0337991007.jpg,belt in imitation leather with a metal buckle width,0.8208979
1297,0338016009,Leather belt with an antiqued metal buckle. Width approx. 3.5 cm.,../input/h-and-m-personalized-fashion-recommendations/images/033/0338016009.jpg,leather belt with a metal buckle width approx 3,0.8721969
1310,0341242001,"Suit waistcoat in woven fabric with lining fabric at the back. Buttons at the front, a chest pocket, welt front pockets and an adjustable tab at the back. Lined.",../input/h-and-m-personalized-fashion-recommendations/images/034/0341242001.jpg,suit waistcoat in woven fabric with buttons down the,0.62246007
1341,0342034027,"Scarf in a soft, loose weave with fringes on the short sides. Size 100x200 cm.",../input/h-and-m-personalized-fashion-recommendations/images/034/0342034027.jpg,scarf in a soft weave with fringes on the,0.7435685
1342,0342060001,Tights that look like a pair of over-the-knee socks with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/034/0342060001.jpg,opaque tights with a sheen the tummy thighs and,0.54047364
1347,0342434003,Double-layered hat in cotton jersey with a small appliqué at the hem.,../input/h-and-m-personalized-fashion-recommendations/images/034/0342434003.jpg,doublelayered hat in soft jersey [UNK] doublelayered [UNK] doublelayered,0.6413239
1352,0343973009,Microfibre leggings with an elasticated waist and lace trims at the hems.,../input/h-and-m-personalized-fashion-recommendations/images/034/0343973009.jpg,shortsleeved bodysuits in soft organic cotton jersey with a,0.33835727
1353,0343973011,Microfibre leggings with an elasticated waist and lace trims at the hems.,../input/h-and-m-personalized-fashion-recommendations/images/034/0343973011.jpg,soft cotton jersey leggings with an elasticated waist and,0.6688129
1412,0349301001,Espadrilles in cotton with a braided jute trim around the soles and concealed elastic at the back of the heels. Fabric linings and insoles and patterned soles.,../input/h-and-m-personalized-fashion-recommendations/images/034/0349301001.jpg,espadrilles in cotton canvas with a braided jute trim,0.5749304
1417,0349301022,Espadrilles in cotton with a braided jute trim around the soles and concealed elastic at the back of the heels. Fabric linings and insoles and patterned soles.,../input/h-and-m-personalized-fashion-recommendations/images/034/0349301022.jpg,espadrilles in cotton canvas with a braided jute trim,0.5749304
1424,0349301032,Espadrilles in cotton with a braided jute trim around the soles and concealed elastic at the back of the heels. Fabric linings and insoles and patterned soles.,../input/h-and-m-personalized-fashion-recommendations/images/034/0349301032.jpg,espadrilles with a braided jute trim around the soles,0.69397366
1455,0351484002,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges.",../input/h-and-m-personalized-fashion-recommendations/images/035/0351484002.jpg,fully lined bikini bottoms with a mid waist medium,0.8212081
1458,0351484013,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges.",../input/h-and-m-personalized-fashion-recommendations/images/035/0351484013.jpg,fully lined bikini bottoms with a mid waist medium,0.8212081
1460,0351484026,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges.",../input/h-and-m-personalized-fashion-recommendations/images/035/0351484026.jpg,fully lined bikini bottoms with a low waist and,0.72461283
1464,0351484034,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges.",../input/h-and-m-personalized-fashion-recommendations/images/035/0351484034.jpg,fully lined bikini bottoms with a low waist and,0.72461283
